"Num_Acc","an","mois","jour","lum","agg","dep"
"201800000001",18,1,24,"1","1",590
"201800000002",18,2,12,"1","2",590
"201800000003",18,3,4,"1","2",590
"201800000004",18,5,5,"1","2",590
"201800000005",18,6,26,"1","2",590
"201800000006",18,9,23,"2","2",590
"201800000007",18,9,26,"5","2",590
"201800000008",18,11,30,"5","2",590
"201800000009",18,2,18,"1","1",590
"201800000010",18,3,19,"1","2",590
"201800000011",18,5,28,"1","2",590
"201800000012",18,5,31,"5","1",590
"201800000013",18,6,15,"1","1",590
"201800000014",18,7,19,"1","2",590
"201800000015",18,10,31,"3","1",590
"201800000016",18,1,15,"2","2",590
"201800000017",18,2,9,"1","2",590
"201800000018",18,4,7,"1","2",590
"201800000019",18,4,17,"1","1",590
"201800000020",18,5,27,"1","1",590
"201800000021",18,6,12,"1","2",590
"201800000022",18,7,12,"1","2",590
"201800000023",18,10,12,"2","1",590
"201800000024",18,12,5,"1","2",590
"201800000025",18,2,9,"1","2",590
"201800000026",18,4,14,"1","1",590
"201800000027",18,3,28,"1","1",590
"201800000028",18,6,17,"1","2",590
"201800000029",18,9,16,"1","1",590
"201800000030",18,1,13,"5","2",590
"201800000031",18,2,3,"3","1",590
"201800000032",18,5,1,"1","2",590
"201800000033",18,7,6,"1","1",590
"201800000034",18,2,3,"2","1",590
"201800000035",18,3,16,"3","1",590
"201800000036",18,5,19,"1","2",590
"201800000037",18,7,1,"1","1",590
"201800000038",18,9,4,"1","1",590
"201800000039",18,10,10,"3","1",590
"201800000040",18,10,16,"1","2",590
"201800000041",18,11,21,"1","2",590
"201800000042",18,1,19,"1","2",590
"201800000043",18,7,9,"1","1",590
"201800000044",18,9,29,"1","1",590
"201800000045",18,10,28,"5","1",590
"201800000046",18,10,28,"5","1",590
"201800000047",18,2,10,"1","2",590
"201800000048",18,11,10,"1","1",590
"201800000049",18,1,16,"1","2",590
"201800000050",18,3,22,"1","2",590
"201800000051",18,8,26,"1","2",590
"201800000052",18,8,31,"1","2",590
"201800000053",18,9,6,"1","1",590
"201800000054",18,10,12,"1","2",590
"201800000055",18,10,23,"1","2",590
"201800000056",18,4,10,"1","1",590
"201800000057",18,6,2,"2","1",590
"201800000058",18,10,26,"2","1",590
"201800000059",18,11,9,"5","1",590
"201800000060",18,12,17,"1","2",590
"201800000061",18,1,5,"5","2",590
"201800000062",18,1,21,"3","2",590
"201800000063",18,2,2,"3","1",590
"201800000064",18,2,6,"3","1",590
"201800000065",18,9,17,"1","1",590
"201800000066",18,10,23,"5","1",590
"201800000067",18,11,30,"1","1",590
"201800000068",18,3,2,"3","1",590
"201800000069",18,3,3,"1","1",590
"201800000070",18,3,8,"1","1",590
"201800000071",18,3,15,"1","2",590
"201800000072",18,3,18,"3","1",590
"201800000073",18,4,25,"2","1",590
"201800000074",18,5,12,"1","2",590
"201800000075",18,6,15,"2","1",590
"201800000076",18,7,12,"5","2",590
"201800000077",18,8,25,"1","1",590
"201800000078",18,9,24,"1","2",590
"201800000079",18,10,14,"1","2",590
"201800000080",18,11,2,"1","1",590
"201800000081",18,11,16,"3","1",590
"201800000082",18,11,23,"1","1",590
"201800000083",18,11,27,"5","2",590
"201800000084",18,4,8,"2","2",590
"201800000085",18,5,13,"1","1",590
"201800000086",18,6,3,"1","1",590
"201800000087",18,7,9,"5","2",590
"201800000088",18,3,22,"4","2",590
"201800000089",18,4,17,"1","2",590
