"Num_Acc","catu","grav","sexe","an_nais"
201800028836,1,1,1,1964
201800028836,2,4,2,1967
201800028837,1,1,2,1979
201800028837,1,4,2,1980
201800028837,1,4,2,1988
201800028838,1,1,1,1933
201800028838,3,4,2,1947
201800028839,1,4,2,1986
201800028840,1,4,2,1997
201800028841,1,1,1,1994
201800028841,2,4,2,1997
201800028842,1,1,1,1983
201800028842,1,4,1,1993
201800028843,1,4,2,1996
201800028844,1,1,2,1993
201800028844,1,4,1,1985
201800028845,1,4,2,1986
201800028845,1,1,1,1933
201800028846,1,1,1,1998
201800028846,1,4,1,1976
201800028846,2,4,2,1964
201800028846,1,4,1,1934
201800028847,1,1,1,2000
201800028847,1,4,1,1963
201800028847,2,4,1,1959
201800028847,2,4,1,1967
201800028847,2,4,1,1960
201800028848,1,1,1,1983
201800028848,2,4,1,1968
201800028848,1,4,1,1969
201800028849,1,4,2,1963
201800028849,1,1,2,1970
201800028850,1,4,2,1986
201800028850,1,4,1,1992
201800028851,1,1,2,1995
201800028851,1,4,1,2003
201800028852,1,4,1,2001
201800028852,1,1,1,1985
201800028853,1,4,1,1958
201800028854,1,4,2,1983
201800028855,1,4,2,1951
201800028856,1,4,2,1971
201800028856,1,4,1,1998
201800028856,1,4,2,1959
201800028856,2,4,2,1992
201800028857,1,4,1,1979
201800028857,1,1,2,1980
201800028858,1,4,2,1998
201800028858,1,4,2,1973
201800028859,1,4,1,1999
201800028859,2,4,2,1949
201800028860,1,4,1,1982
201800028861,1,1,1,1980
201800028861,1,4,1,1971
201800028862,1,1,1,1959
201800028862,1,4,1,1971
201800028862,1,1,1,1937
201800028862,1,4,2,1998
201800028863,1,1,2,1940
201800028863,3,4,2,2004
201800028864,1,2,1,1965
201800028865,1,1,1,1927
201800028865,3,4,2,1998
201800028866,1,1,1,1978
201800028866,1,4,1,2004
201800028867,1,4,1,1954
201800028867,1,1,1,1942
201800028868,1,1,1,1980
201800028868,3,3,2,1935
201800028869,1,4,1,1994
201800028869,1,1,2,1981
201800028870,1,4,1,1936
201800028871,1,4,1,2000
201800028871,1,1,2,1963
201800028872,1,1,1,1964
201800028872,3,4,1,1958
201800028873,1,4,1,1986
201800028873,1,1,1,1992
201800028874,1,1,1,1945
201800028874,1,4,1,1969
201800028875,1,4,2,1977
201800028875,1,1,1,1961
201800028876,1,4,1,1992
201800028876,1,1,1,1976
201800028877,1,1,1,1959
201800028877,1,4,2,1973
201800028878,1,4,1,2002
201800028878,1,1,2,1992
201800028879,1,1,1,1973
201800028879,1,4,1,1969
201800028879,1,4,1,1976
201800028880,1,4,1,1977
201800028881,1,1,1,1931
201800028881,1,4,2,1946
201800028882,1,4,1,1995
201800028882,2,1,1,1992
201800028882,2,1,1,1994
201800028882,1,4,1,1999
201800028882,2,4,1,1997
201800028883,1,4,1,1971
201800028884,1,3,1,1969
201800028885,1,3,1,1966
