age;sexe;filiere;domicile;revenus;situation;etudes;fruits;malbouffe;exercice;imc
18;G;Litteraire;Familial;Famille;Correcte;Autre;4;9,4;0;24,3
18;F;Scientifique;Collocation;Multi-sources;Correcte;Autre;5;8,0;1;25,5
18;F;Scientifique;ResidenceU;Multi-sources;Correcte;Autre;3;12,3;2;27,1
18;F;Scientifique;Collocation;Remuneration;Correcte;Au moins 1 etudes sup;5;8,6;3;26,8
18;F;Litteraire;SeulAppartement;Famille;Correcte;Autre;3;12,8;3;28,1
18;F;Litteraire;Collocation;Remuneration;Correcte;Autre;4;10,5;5;30,2
18;F;Scientifique;SeulAppartement;Multi-sources;Correcte;Autre;4;10,0;6;23,3
18;G;Litteraire;Familial;Multi-sources;Correcte;Autre;4;10,6;10;28,6
18;F;Litteraire;SeulAppartement;Remuneration;Difficile;Autre;4;11,1;11;35,2
18;G;Scientifique;SeulAppartement;Multi-sources;Correcte;Au moins 1 etudes sup;4;9,9;12;35,1
18;F;Scientifique;Collocation;Remuneration;Difficile;Autre;5;9,1;12;28,6
18;F;SciencePo;Collocation;Multi-sources;Correcte;Autre;3;11,4;13;26,2
18;F;Litteraire;SeulAppartement;Famille;Confortable;Au moins 1 etudes sup;4;10,4;14;29,0
18;F;Scientifique;Familial;Famille;Correcte;Autre;6;7,1;14;25,7
18;F;Litteraire;Collocation;Famille;Difficile;Autre;2;13,5;14;28,2
18;F;Scientifique;ResidenceU;Multi-sources;Correcte;Au moins 1 etudes sup;4;10,3;16;26,9
18;F;Scientifique;SeulAppartement;Famille;Correcte;Autre;4;11,3;16;23,7
18;F;Scientifique;ResidenceU;Remuneration;Correcte;Autre;3;12,4;16;25,7
18;F;Scientifique;Familial;Famille;Confortable;Au moins 1 etudes sup;6;5,7;17;24,3
18;F;Scientifique;ResidenceU;Multi-sources;Correcte;Autre;4;10,8;17;25,4
18;F;SciencePo;Familial;Famille;Correcte;Au moins 1 etudes sup;6;5,3;18;26,5
18;F;Scientifique;Autre;Remuneration;Correcte;Autre;5;8,7;18;25,9
18;F;Litteraire;SeulAppartement;Remuneration;Correcte;Autre;4;11,3;18;27,7
18;F;Scientifique;SeulAppartement;Famille;Correcte;Autre;5;7,5;19;32,5
18;F;Litteraire;Familial;Famille;Correcte;Au moins 1 etudes sup;6;7,1;20;26,2
18;F;Scientifique;Familial;Famille;Correcte;Au moins 1 etudes sup;5;7,4;20;29,6
18;G;Scientifique;ResidenceU;Remuneration;Difficile;Autre;2;15,2;20;32,0
18;F;Litteraire;Familial;Multi-sources;Confortable;Au moins 1 etudes sup;5;7,4;22;23,7
18;F;Scientifique;Collocation;Remuneration;Correcte;Autre;4;10,7;23;20,0
18;F;Litteraire;Collocation;Remuneration;Correcte;Autre;4;10,9;24;32,3
18;F;Scientifique;ResidenceU;Remuneration;Difficile;Autre;3;13,1;24;22,7
18;F;Autre;SeulAppartement;Remuneration;Difficile;Autre;4;10,3;24;29,3
18;F;Litteraire;SeulAppartement;Multi-sources;Correcte;Au moins 1 etudes sup;5;9,1;25;26,2
18;G;Litteraire;Familial;Multi-sources;Correcte;Autre;4;9,8;26;30,4
18;F;Scientifique;Familial;Multi-sources;Correcte;Autre;7;4,8;26;32,7
18;F;Scientifique;Autre;Remuneration;Difficile;Autre;2;13,3;26;31,9
18;G;Litteraire;SeulAppartement;Famille;Confortable;Autre;3;12,9;27;27,1
18;F;Autre;Autre;Famille;Correcte;Au moins 1 etudes sup;5;9,0;27;26,0
18;F;Litteraire;SeulAppartement;Remuneration;Correcte;Autre;4;10,9;27;23,5
18;F;Litteraire;Collocation;Famille;Difficile;Au moins 1 etudes sup;3;11,5;27;24,8
18;F;Scientifique;Collocation;Multi-sources;Correcte;Autre;4;9,4;28;29,2
18;F;Scientifique;Collocation;Multi-sources;Correcte;Autre;4;10,0;28;31,1
18;G;SciencePo;Autre;Multi-sources;Difficile;Autre;3;12,4;28;27,4
18;F;Litteraire;ResidenceU;Multi-sources;Confortable;Au moins 1 etudes sup;3;12,2;29;25,2
18;F;Autre;SeulAppartement;Multi-sources;Correcte;Autre;4;9,8;30;34,4
18;F;Scientifique;SeulAppartement;Famille;Confortable;Au moins 1 etudes sup;4;10,4;32;27,2
18;F;Autre;ResidenceU;Multi-sources;Correcte;Autre;3;12,6;33;28,8
18;F;Scientifique;SeulAppartement;Multi-sources;Difficile;Autre;4;11,1;34;24,8
18;F;Litteraire;Collocation;Famille;Correcte;Au moins 1 etudes sup;4;10,0;36;26,3
18;F;Scientifique;Autre;Famille;Correcte;Autre;4;10,2;37;30,3
18;G;Autre;Collocation;Famille;Correcte;Autre;2;13,8;37;32,1
18;G;Scientifique;ResidenceU;Remuneration;Correcte;Autre;2;13,9;37;27,4
18;F;Autre;Collocation;Multi-sources;Difficile;Autre;5;9,0;37;31,5
18;F;Autre;SeulAppartement;Remuneration;Difficile;Autre;4;9,7;37;29,7
18;F;Scientifique;ResidenceU;Multi-sources;Correcte;Autre;3;11,7;38;23,8
18;G;Scientifique;SeulAppartement;Remuneration;Correcte;Autre;3;11,9;38;25,2
18;F;Scientifique;SeulAppartement;Remuneration;Difficile;Autre;4;9,8;38;25,1
18;G;Litteraire;ResidenceU;Remuneration;Difficile;Autre;1;16,9;42;27,6
18;F;Scientifique;Familial;Multi-sources;Correcte;Autre;6;6,9;43;25,5
18;F;Scientifique;Autre;Remuneration;Correcte;Autre;4;10,2;46;27,2
18;F;Scientifique;Collocation;Remuneration;Correcte;Autre;4;10,0;46;29,0
18;F;Scientifique;Collocation;Remuneration;Correcte;Au moins 1 etudes sup;4;10,3;49;22,0
18;F;Litteraire;Familial;Famille;Correcte;Autre;6;5,8;49;27,2
18;F;SciencePo;Collocation;Remuneration;Difficile;Autre;4;10,1;49;27,0
18;G;Scientifique;ResidenceU;Remuneration;Correcte;Autre;2;14,6;51;21,8
18;G;Litteraire;Familial;Famille;Confortable;Au moins 1 etudes sup;4;9,3;52;28,7
18;F;Scientifique;Familial;Famille;Correcte;Autre;6;7,1;55;25,5
18;G;SciencePo;Familial;Famille;Correcte;Autre;4;9,4;57;37,4
18;F;Scientifique;ResidenceU;Multi-sources;Correcte;Autre;2;13,5;57;24,2
18;F;Scientifique;ResidenceU;Remuneration;Correcte;Autre;3;12,5;57;32,9
18;G;Litteraire;Collocation;Remuneration;Correcte;Au moins 1 etudes sup;2;13,3;58;34,2
18;G;Autre;Familial;Famille;Correcte;Autre;4;10,6;58;21,9
