"Num_Acc","catu","grav","sexe","an_nais"
201800000001,1,3,1,1928
201800000001,1,1,1,1960
201800000002,1,1,1,1947
201800000002,3,4,1,1959
201800000003,1,3,1,1987
201800000003,1,1,1,1977
201800000004,1,3,1,2013
201800000004,1,1,1,1982
201800000005,1,4,1,2001
201800000005,1,1,1,1946
201800000006,1,1,1,1984
201800000006,2,1,1,1992
201800000006,2,4,1,1995
201800000006,3,3,1,1959
201800000007,1,3,1,1996
201800000008,1,1,1,1987
201800000008,3,2,1,1944
201800000009,1,4,1,1987
201800000010,1,3,1,1977
201800000010,1,1,2,1948
201800000011,1,1,2,1953
201800000011,1,3,1,1987
201800000012,1,3,1,1997
201800000012,2,3,2,2002
201800000012,2,3,1,1996
201800000012,2,3,2,2001
201800000013,1,3,1,1961
201800000013,1,1,2,1972
201800000013,2,1,2,2002
201800000014,1,1,1,1987
201800000014,3,3,2,1929
201800000015,1,3,1,1996
201800000016,1,1,1,1941
201800000016,3,4,2,2004
201800000017,1,3,1,1974
201800000018,1,3,1,2000
201800000018,1,1,2,1975
201800000019,1,3,1,1954
201800000019,2,3,2,1952
201800000019,1,1,1,1988
201800000020,1,1,1,1988
201800000020,1,3,1,1997
201800000021,1,1,2,1993
201800000021,1,3,1,1950
201800000022,1,1,1,1965
201800000022,3,3,1,1946
201800000023,1,1,1,1991
201800000023,1,3,1,1975
201800000024,1,1,1,1979
201800000024,3,4,1,1938
201800000025,1,2,1,1951
201800000026,1,3,2,1949
201800000026,1,1,1,1957
201800000027,1,3,1,1974
201800000027,1,1,2,1995
201800000027,1,1,1,1981
201800000028,1,3,1,1990
201800000029,1,1,2,1950
201800000029,2,1,2,1930
201800000029,2,2,1,1934
201800000030,1,1,1,1998
201800000030,3,4,2,1999
201800000031,1,2,1,1966
201800000032,1,1,1,1963
201800000032,3,2,1,1949
201800000033,1,1,1,1960
201800000033,1,1,1,1978
201800000033,1,3,1,1994
201800000034,1,4,2,1992
201800000034,1,3,2,1999
201800000035,1,3,1,1975
201800000036,1,1,1,1939
201800000036,1,3,1,1948
201800000037,1,1,1,2000
201800000037,2,1,1,2002
201800000037,1,4,1,1968
201800000037,2,3,2,1971
201800000037,2,3,2,1993
201800000038,1,3,1,1987
201800000038,1,1,1,1996
201800000039,1,1,1,1991
201800000039,1,4,1,1971
201800000040,1,1,1,1954
201800000040,1,3,1,2000
201800000040,1,1,2,1979
201800000041,1,1,2,1975
201800000041,1,3,1,1967
201800000042,1,3,1,1984
201800000043,1,3,1,1977
201800000043,1,1,1,1996
201800000044,1,1,1,2000
201800000044,1,3,1,1947
201800000045,1,3,1,1999
201800000045,2,3,1,1992
201800000046,1,1,1,2000
201800000046,2,1,1,2001
201800000046,2,3,1,1998
201800000047,1,1,2,1991
201800000047,3,2,1,1937
201800000048,1,1,2,1978
201800000048,1,1,1,1961
201800000048,2,4,2,1931
201800000049,1,1,2,1945
201800000049,3,4,1,1956
201800000050,1,1,1,1981
201800000050,1,4,1,1949
201800000051,1,1,2,1987
201800000051,1,2,1,1940
201800000052,1,3,1,2002
201800000052,1,1,1,1973
201800000053,1,1,1,1989
201800000053,1,4,1,1985
201800000054,1,3,1,1975
201800000054,1,1,1,1981
201800000055,1,4,2,2003
201800000055,1,1,2,1983
201800000056,1,1,2,1934
201800000056,1,3,1,1944
201800000057,1,4,1,1998
201800000057,2,3,1,1999
201800000058,1,4,1,1997
201800000058,1,4,1,1959
201800000059,1,3,1,1979
201800000059,1,1,1,1998
201800000060,1,1,1,1976
201800000060,3,4,1,1933
201800000061,1,1,1,1998
201800000061,2,1,1,1999
201800000061,1,1,1,1952
201800000061,1,4,1,1944
201800000062,1,3,1,2000
201800000062,2,3,1,1995
201800000063,1,3,1,1985
201800000064,1,3,2,1978
201800000064,1,4,1,1997
201800000065,1,4,1,1970
201800000065,1,3,1,1972
201800000066,1,3,1,1989
201800000067,1,3,1,1998
201800000068,1,3,1,1998
201800000068,2,4,1,1997
201800000069,1,4,2,1934
201800000069,2,4,2,1957
201800000069,2,4,1,1956
201800000070,1,4,1,1989
201800000070,1,4,1,1997
201800000071,1,3,2,1972
201800000071,2,1,1,1971
201800000072,1,4,1,1989
201800000073,1,3,1,1995
201800000073,2,4,1,1991
201800000074,1,3,1,1963
201800000075,1,1,1,1972
201800000075,1,4,2,1978
201800000076,1,3,1,1985
201800000077,1,1,1,1997
201800000077,1,3,1,2002
201800000078,1,3,1,1992
201800000078,1,1,1,1983
201800000079,1,1,1,1974
201800000079,1,3,1,1970
201800000080,1,1,1,1940
201800000080,1,3,1,1957
201800000081,1,3,1,1999
201800000081,1,3,2,1971
201800000082,1,1,2,1976
201800000082,1,4,1,1982
201800000083,1,4,2,1970
201800000083,1,3,1,1969
201800000084,1,1,1,1992
201800000084,1,4,1,1948
201800000085,1,3,1,1997
201800000086,1,4,1,1928
201800000086,2,3,2,1926
201800000086,1,4,2,1962
201800000087,1,4,2,1950
201800000088,1,4,1,1998
201800000088,2,4,2,1999
201800000089,1,1,1,1984
201800000089,1,4,2,1949
201800000089,2,4,2,1992
201800000089,2,4,1,1995
201800000090,1,3,1,1980
201800000091,1,1,2,1980
201800000091,3,3,1,1933
201800000092,1,3,1,1990
201800000093,1,3,2,1994
201800000094,1,1,1,1989
201800000094,1,2,1,1950
201800000095,1,1,2,1981
201800000095,3,4,2,1956
201800000096,1,1,1,1962
201800000096,3,4,1,1998
201800000097,1,1,1,1987
201800000097,2,1,1,1984
